hospital_name,hospital_type,address,insurers,rating,specialties,tier,segment
Amandeep Br Medicity,Private,"Tengpora byepass, Jammu and Kashmir","PMJAY,Care Health,Star Health,HDFC",0.0,Cardiology; Orthopedics; General Surgery; Oncology; Urology,City 1,Established
CHC Marwah,Government,"CHC Marwah Nopachi, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
WANI NURSING HOME,Private,"Moominabad near jackfid, Moominabad Anantnag, Jammu and Kashmir","PMJAY,Care Health",0.0,General Surgery; Gynecology,Town 1,Budget/Local
ST JOSEPHS COMMUNITY HOSPITAL,Private,"ST JOSEPHS COMMUNITY HOSPITAL, BARJANI TALAB BARI BRAHMNA, Jammu and Kashmir",PMJAY,0.0,General Surgery; Gynecology,City 1,Budget/Local
SHREE AUM MULTISPECIALITY HOSPITAL,Private,"Shree Aum Hospital, NH 44, Treth Morh, Bari Brahmana, Jammu and Kashmir","PMJAY,HDFC",0.0,Orthopedics; General Surgery; Gynecology; Urology,City 1,Established
ZAINAPORA,Government,"ZAINAPORA, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
CHC KELLER,Government,"Chc Keller, rINGWARD kELLER, Jammu and Kashmir",PMJAY,0.0,General Surgery; Gynecology,City 1,Government
GOVERNMENT KASHMIR NURSING HOME,Government,"GUPKAR ROAD NEAR UNO OFFICE, Jammu and Kashmir",PMJAY,0.0,General Surgery; Oncology; Gynecology,City 1,Government
Shangus,Government,"Shangus, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Kreeri,Government,"near Main Market Kreeri, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Pattan,Government,"Behind ITI, Near ITI Pattan, Jammu and Kashmir",PMJAY,0.0,Cardiology; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Kandi,Government,"Kotranka, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
SDH Haztabal,Government,"Habak Crossing near foreshoe road, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Katra,Government,"Near Counter No Two, opposite counter no 2 katra, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
MMABM AH GMC Anantnag,Government,"Janglatmandi Anantnag, Anantnag, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
Bijbehara,Government,"NEAR POLICE STATION BIJBEHARA, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
CHC THATHRI,Government,"THATHRI, MAIN ROAD, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Ramnagar,Government,"Ramnagar, Near Boys Higher Secondary School Ramnagar, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
CHC Mathura Nagar,Government,"Barabanki, Barabanki, Uttar Pradesh",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,City 2,Government
DH Pulwama,Government,"Muran Chowk, Govt Boys Degree College Road, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
CHC GANDOH,Government,"Gandoh, Distt. Doda, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
